epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.156,1.54979,3.15214,1.14005,0.01944,0.75269,0.06316,0.03482,1.50165,3.21457,0.9946,0.00016,0.00016,0.00016
2,34.8395,1.43795,1.76222,1.02766,0.93328,0.07527,0.31709,0.19956,1.43849,2.6632,0.93707,0.00032317,0.00032317,0.00032317
3,52.7663,1.28927,1.25006,1.00396,1,0.08467,0.25559,0.17761,1.27893,2.59519,0.9618,0.00046852,0.00046852,0.00046852
4,70.4729,1.23933,1.16209,1.00527,0.07962,0.68277,0.227,0.16415,1.1358,2.50796,0.97129,0.00059605,0.00059605,0.00059605
5,88.5536,1.22871,1.0891,0.99276,1,0.16767,0.4751,0.34355,1.19174,2.29538,0.97085,0.00070576,0.00070576,0.00070576
6,106.488,1.27422,1.03097,0.97828,0.92233,0.38313,0.62138,0.38375,1.22043,2.07857,0.96319,0.00079765,0.00079765,0.00079765
7,124.485,1.14992,0.98161,0.96269,1,0.39247,0.62526,0.37242,1.27277,2.0044,0.96747,0.00087172,0.00087172,0.00087172
8,142.585,1.16034,0.97882,0.9717,0.95847,0.49635,0.7099,0.45417,1.22997,1.68664,0.96387,0.00092797,0.00092797,0.00092797
9,161.132,1.15558,1.00638,0.98874,0.97669,0.45057,0.61122,0.44056,1.12151,1.67906,0.93263,0.0009664,0.0009664,0.0009664
10,184.461,1.14427,0.95955,0.97661,0.92562,0.53527,0.74609,0.51641,1.0615,1.42961,0.93205,0.00098701,0.00098701,0.00098701
11,201.463,1.08202,0.94944,0.93561,0.94231,0.52686,0.75778,0.53791,0.98937,1.48991,0.92814,0.0009898,0.0009898,0.0009898
12,218.609,1.06241,0.93139,0.92855,0.93047,0.57565,0.81624,0.56063,1.05957,1.31038,0.95601,0.000911,0.000911,0.000911
13,236.02,1.07182,0.93048,0.94557,0.88722,0.67742,0.85366,0.58888,0.99117,1.08235,0.94479,0.000812,0.000812,0.000812
14,254.03,1.04065,0.88454,0.93406,0.93258,0.70968,0.85793,0.58862,0.97547,0.97749,0.94789,0.000713,0.000713,0.000713
15,272.175,0.9917,0.86402,0.92156,0.86742,0.8172,0.86816,0.60397,0.95329,0.85605,0.93891,0.000614,0.000614,0.000614
16,288.912,0.97889,0.827,0.90323,0.90085,0.77419,0.87042,0.62532,0.89033,0.78686,0.92876,0.000515,0.000515,0.000515
17,305.857,0.9836,0.81542,0.9062,0.93502,0.77362,0.87231,0.62525,0.88658,0.75913,0.92061,0.000416,0.000416,0.000416
18,322.888,0.95793,0.80217,0.90159,0.93517,0.75269,0.86846,0.63205,0.87012,0.74107,0.91782,0.000317,0.000317,0.000317
19,339.743,0.90002,0.79055,0.90887,0.90935,0.76344,0.85781,0.61996,0.85094,0.73361,0.92037,0.000218,0.000218,0.000218
20,356.781,0.87408,0.7578,0.90361,0.86679,0.76968,0.85399,0.62632,0.85105,0.7185,0.92291,0.000119,0.000119,0.000119
